100,0100,DRIVER AIR BAG CIRCUIT MALFUNCTION,Цепь надувной подушки безопасности водителя неисправна
101,0101,DRIVER AIR BAG CIRCUIT RANGE/PERF,Сигнал цепи надувной подушки выходит за доп. диапазон
102,0102,DRIVER AIR BAG CIRCUIT LOW INPUT,Сигнал цепи надувной подушки всегда в низком положении
103,0103,DRIVER AIR BAG CIRCUIT HIGH INPUT,Сигнал цепи надувной подушки всегда в высоком положении
105,0105,PASSENGER AIR BAG CIRCUIT MALFUNCTION,Цепь надувной подушки безопасности пассажира неисправна
106,0106,PASSENGER AIR BAG CIRCUIT RANGE/PERF,Сигнал цепи надувной подушки выходит за доп. диапазон
107,0107,PASSENGER AIR BAG CIRCUIT LOW INPUT,Сигнал цепи надувной подушки всегда в низком положении
108,0108,PASSENGER AIR BAG CIRCUIT HIGH INPUT,Сигнал цепи надувной подушки всегда в высоком положении
110,0110,DRVR-SIDE AIR BAG CIRCUIT MALFUNCTION,Цепь надувной боковой подушки без. водителя неисправна
111,0111,DRVR-SIDE AIR BAG CIRCUIT RANGE/PERF,Сигнал цепи надувной подушки выходит за доп. диапазон
112,0112,DRVR-SIDE AIR BAG CIRCUIT LOW INPUT,Сигнал цепи надувной подушки всегда в низком положении
113,0113,DRVR-SIDE AIR BAG CIRCUIT HIGH INPUT,Сигнал цепи надувной подушки всегда в высоком положении
115,0115,PSNGR-SIDE AIR BAG CIRCUIT MALFUNCTION,Цепь надувной боковой подушки без. пассажира неисправна
116,0116,PSNGR-SIDE AIR BAG CIRCUIT RANGE/PERF,Сигнал цепи надувной подушки выходит за доп. диапазон
117,0117,PSNGR-SIDE AIR BAG CIRCUIT LOW INPUT,Сигнал цепи надувной подушки всегда в низком положении
118,0118,PSNGR-SIDE AIR BAG CIRCUIT HIGH INPUT,Сигнал цепи надувной подушки всегда в высоком положении
120,0120,SEATBELT #1 SW MON. CIRCUIT MALFUNCTION,Защелка ремня безопасности №1 неисправен
121,0121,SEATBELT #1 SW MON. CIRCUIT RANGE/PERF,Защелка ремня безопасности №1 работает медленно
122,0122,SEATBELT #1 SW MON. CIRCUIT LOW INPUT,Защелка ремня безопасности №1 имеет низкий вход
123,0123,SEATBELT #1 SW MON. CIRCUIT HIGH INPUT,Защелка ремня безопасности №1 имеет высокий вход
125,0125,SEATBELT #2 SW MON. CIRCUIT MALFUNCTION,Защелка ремня безопасности №2 неисправен
126,0126,SEATBELT #2 SW MON. CIRCUIT RANGE/PERF,Защелка ремня безопасности №2 работает медленно
127,0127,SEATBELT #2 SW MON. CIRCUIT LOW INPUT,Защелка ремня безопасности №2 имеет низкий вход
128,0128,SEATBELT #2 SW MON. CIRCUIT HIGH INPUT,Защелка ремня безопасности №2 имеет высокий вход
130,0130,SEATBELT #1 RETRACT CIRCUIT MALFUNCTION,Механизм натяжения ремня безопасности №1 неисправен
131,0131,SEATBELT #1 RETRACT CIRCUIT RANGE/PERF,Механизм натяжения ремня безопасности №1 работает медленно
132,0132,SEATBELT #1 RETRACT CIRCUIT LOW INPUT,Механизм натяжения ремня безопасности №1 имеет низкий вход
133,0133,SEATBELT #1 RETRACT CIRCUIT HIGH INPUT,Механизм натяжения ремня безопасности №1 имеет высокий вход
135,0135,SEATBELT #2 RETRACT CIRCUIT MALFUNCTION,Механизм натяжения ремня безопасности №2 неисправен
136,0136,SEATBELT #2 RETRACT CIRCUIT RANGE/PERF,Механизм натяжения ремня безопасности №2 работает медленно
137,0137,SEATBELT #2 RETRACT CIRCUIT LOW INPUT,Механизм натяжения ремня безопасности №2 имеет низкий вход
138,0138,SEATBELT #2 RETRACT CIRCUIT HIGH INPUT,Механизм натяжения ремня безопасности №2 имеет высокий вход
300,0300,COOLING FAN #1 CIRCUIT MALFUNCTION,Цепь вентилятора охлаждения №1 не работает
301,0301,COOLING FAN #1 CIRCUIT RANGE/PERF,Цепь вентилятора охлаждения №1 работает медленно
302,0302,COOLING FAN #1 CIRCUIT LOW INPUT,Цепь вентилятора охлаждения №1 имеет низкий сигнал
303,0303,COOLING FAN #1 CIRCUIT HIGH INPUT,Цепь вентилятора охлаждения №1 имеет высокий сигнал
305,0305,COOLING FAN #2 CIRCUIT MALFUNCTION,Цепь вентилятора охлаждения №2 не работает
306,0306,COOLING FAN #2 CIRCUIT RANGE/PERF,Цепь вентилятора охлаждения №2 работает медленно
307,0307,COOLING FAN #2 CIRCUIT LOW INPUT,Цепь вентилятора охлаждения №2 имеет низкий сигнал
308,0308,COOLING FAN #2 CIRCUIT HIGH INPUT,Цепь вентилятора охлаждения №2 имеет высокий сигнал
310,0310,A/C CLUTCH CIRCUIT MALFUNCTION,Цепь включения кондиционера неисправна
311,0311,A/C CLUTCH CIRCUIT RANGE/PERF,Цепь включения кондиционера работает медленно
312,0312,A/C CLUTCH CIRCUIT LOW INPUT,Цепь включения кондиционера имеет низкий сигнал
313,0313,A/C CLUTCH CIRCUIT HIGH INPUT,Цепь включения кондиционера имеет высокий сигнал
315,0315,A/C PRESSURE #1 CIRCUIT MALFUNCTION,Цепь компрессора кондиционера №1 неисправна
316,0316,A/C PRESSURE #1 CIRCUIT RANGE/PERF,Цепь компрессора кондиционера №1 работает медленно
317,0317,A/C PRESSURE #1 CIRCUIT LOW INPUT,Цепь компрессора кондиционера №1 имеет низкий сигнал
